id,name,birthdate,deathdate
1,50 Cent,2026-07-06,
2,A. Michael Baldwin,2026-04-04,
3,A. Raven Cruz,,
4,A.J. Buckley,2026-02-09,
5,A.J. DeLucia,,
6,A.J. Langer,2026-05-22,
7,Aaliyah,2026-01-16,2026-08-25
8,Aaron Ashmore,2026-10-07,
9,Aaron Hann,,
10,Aaron Hill,2026-04-23,
11,Aaron Hughes,,
12,Aaron Kwok,2026-10-26,
13,Aaron Schneider,,
14,Aaron Seltzer,2026-01-12,
15,Aaron Stanford,2026-12-27,
16,Aaron Staton,,
17,Aaron Yoo,2026-05-12,
18,Aasheekaa Bathija,,
19,Aasif Mandvi,2026-03-05,
20,Abbie Cornish,2026-08-07,
21,Abby Elliott,2026-06-16,
22,Abby Mukiibi Nkaaga,,
23,Abel Ferrara,2026-07-19,
24,Abhishek Bachchan,2026-02-05,
25,Abigail Evans,,
26,Abigail Spencer,2026-08-04,
27,Abraham Benrubi,2026-10-04,
28,Ace Marrero,2026-07-28,
29,Adam Alexi-Malle,2026-09-24,
30,Adam Arkin,2026-08-19,
31,Adam Baldwin,2026-02-27,
32,Adam Boyer,,
33,Adam Brooks,2026-09-03,
34,Adam Brown,,
35,Adam Butcher,2026-10-20,
36,Adam Carolla,2026-05-27,
37,Adam Copeland,2026-10-30,
38,Adam DiMarco,2026-04-14,
39,Adam Garcia,2026-06-01,
40,Adam Goldberg,2026-10-25,
41,Adam Green,2026-03-31,
42,Adam Hicks,2026-11-28,
43,Adam Jay Epstein,,
44,Adam Lamberg,2026-09-14,
45,Adam LeFevre,2026-08-11,
46,Adam Marcus,,
47,Adam McKay,2026-04-17,
48,Adam Rapp,2026-06-15,
49,Adam Ratcliffe,,
50,Adam Rayner,,
51,Adam Rifkin,2026-12-31,
52,Adam Sandler,2026-09-09,
53,Adam Scott,2026-04-03,
54,Adam Shankman,2026-11-27,
55,Adam Trese,2026-01-04,
56,Adel Karam,,
57,Adelaide Kane,2026-08-09,
58,Aden Young,,
59,Adhir Kalyan,2026-08-04,
60,Aditya Roy Kapoor,2026-11-16,
61,Adolphe Menjou,1890-02-18,2026-10-29
62,Adrian Alonso,2026-04-06,
63,Adrian Gonzalez,2026-05-08,2026-10-23
64,Adrian Holmes,2026-03-31,
65,Adrian Lester,2026-08-14,
66,Adrian Lyne,2026-03-04,
67,Adrian Martinez,,
68,Adrian Pasdar,2026-04-30,
69,Adrian Paul,2026-05-29,
70,Adriana Barraza,2026-03-05,
71,Adriana Caselotti,,
72,Adriane Lenox,2026-09-11,
73,Adriano Giannini,2026-05-10,
74,Adrien Dorval,2026-03-22,
75,Adrienne Barbeau,2026-06-11,
76,Adrienne Frantz,2026-06-07,
77,Adrienne King,2026-07-21,
78,Adrienne Pickering,2026-02-22,
79,Adrienne Shelly,2026-06-24,2026-11-01
80,Agame Malembo-Emene,,
81,Agata Kulesza,2026-09-27,
82,Agata Trzebuchowska,,
83,Agnes Bruckner,2026-08-16,
84,Agnes Moorehead,,
85,Agnia Ditkovskite,2026-05-11,
86,Agnieszka Holland,2026-11-28,
87,Agnieszka Wojtowicz-Vosloo,,
88,Agustín Díaz Yanes,,
89,Ah-sung Ko,2026-08-10,
90,Ahmad Massad,,
91,Ahmed Best,2026-08-19,
92,Ahmed Hassan,,
93,Ahmet Ertegun,2026-07-31,2026-12-14
94,Ahna O'Reilly,2026-09-21,
95,Ahney Her,,
96,Aida Elkashef,,
97,Aida Folch,2026-11-24,
98,Aida Turturro,2026-09-25,
99,Aidan McArdle,,
100,Aidan Quinn,2026-03-08,
101,Aidan Turner,2026-06-19,
102,Aimee Garcia,2026-11-28,
103,Aimee Teegarden,2026-10-10,
104,Aisha Hinds,2026-11-13,
105,Aisha Tyler,2026-09-18,
106,Aitana Sánchez-Gijón,2026-11-05,
107,AJ Michalka,2026-04-10,
108,Ajay Naidu,2026-02-12,
109,Aki Aleong,2026-12-19,
110,Aki Kaurism?ki,2026-04-04,
111,Akie Kotabe,2026-07-18,
112,Akima,,2026-07-27
113,Akira Kurosawa,2026-03-23,2026-09-06
114,Akira Terao,2026-05-18,
115,Akiva Goldsman,2026-07-07,
116,Akiva Schaffer,2026-12-01,
117,Akon,2026-04-16,
118,Aksel Hennie,2026-10-29,
119,Akshaye Khanna,2026-03-28,
120,Al Cliver,2026-07-16,
121,Al Franklin,,
122,Al Freeman Jr.,2026-03-21,2026-08-09
123,Al Gore,2026-03-31,
124,Al Leong,2026-09-30,
125,Al Pacino,2026-04-25,
126,Al Roker,2026-08-20,
127,Al Sapienza,2026-07-31,
128,Al Silliman Jr.,2026-04-07,
129,Alain Delon,2026-11-08,
130,Alain Resnais,2026-06-03,2026-03-01
131,Alan Alda,2026-01-28,
132,Alan Autry,2026-07-31,
133,Alan Bates,2026-02-17,2026-12-27
134,Alan Brent,,
135,Alan Cohn,2026-01-12,
136,Alan D. Purwin,2026-08-28,2026-09-11
137,Alan Dale,2026-05-06,
138,Alan David,2026-11-30,
139,Alan Ford,2026-02-23,
140,Alan Hale,2026-05-06,
141,Alan Hale Jr.,2026-03-08,2026-01-02
142,Alan J. Pakula,2026-04-07,2026-11-19
143,Alan Jacobs,,
144,Alan Metter,2026-08-19,
145,Alan Oppenheimer,2026-04-23,
146,Alan Parker,2026-02-14,
147,Alan Pietruszewski,,
148,Alan Poul,,
149,Alan Rickman,2026-02-21,2026-01-14
150,Alan Ruck,2026-07-01,
151,Alan Rudolph,2026-12-18,
152,Alan Shapiro,,
153,Alan Taylor,,
154,Alan Van Sprang,2026-06-19,
155,Alan Williams,,
156,Alan Young,2026-11-19,2026-05-19
157,Alan Yuen,,
158,Alana Kaniewski,,
159,Alanna Ubach,2026-10-03,
160,Alastair Duncan,,
161,Alba Rohrwacher,2026-02-27,
162,Albert Brooks,2026-07-22,
163,Albert Delpy,2026-09-13,
164,Albert Dupontel,2026-01-11,
165,Albert Finney,2026-05-09,
166,Albert Hughes,2026-04-01,
167,Albert Maysles,2026-11-26,2026-03-05
168,Albert Salmi,2026-03-11,2026-04-22
169,Alden Ehrenreich,2026-11-22,
170,Aldis Hodge,2026-09-20,
171,Aldo Sambrell,2026-02-23,2026-07-10
172,Alec Asten,,
173,Alejandro Agresti,2026-06-02,
174,Alejandro Amenábar,2026-03-31,
175,Alejandro Furth,,
176,Alejandro G. I?árritu,2026-08-15,
177,Alejandro Monteverde,2026-07-13,
178,Aleksa Palladino,2026-09-21,
179,Aleksandr Bashirov,2026-09-24,
180,Aleksandr Veledinskiy,2026-07-27,
181,Aleksey Chadov,2026-09-02,
182,Aleksey German,2026-09-04,
183,Aleksey Serebryakov,2026-06-03,
184,Alessandra Mastronardi,2026-02-18,
185,Alessandro Carloni,,
186,Alessandro Nivola,2026-06-28,
187,Alessandro Preziosi,2026-04-19,
188,?lex Angulo,2026-04-12,2026-07-20
189,Alex Borstein,2026-02-15,
190,Alex Cox,2026-12-15,
191,Alex Craig Mann,,
192,?lex de la Iglesia,2026-12-04,
193,Alex Désert,2026-07-18,
194,Alex Emanuel,,
195,Alex Garland,2026-05-26,
196,Alex Gibney,2026-10-23,
197,Alex Huszar,,
198,Alex Jennings,2026-05-10,
199,Alex Karpovsky,,
200,Alex Kendrick,,
201,Alex Lawther,,
202,Alex Macqueen,,
203,Alex McArthur,2026-03-06,
204,Alex Meraz,2026-01-10,
205,Alex Pettyfer,2026-04-10,
206,Alex Proyas,2026-09-23,
207,Alex Ranarivelo,,
208,Alex Rivera,,
209,Alex Rocco,2月29日,2026-07-18
210,Alex Russell,2026-12-11,
211,Alex Sanborn,,
212,Alex Smith,,
213,Alex van Warmerdam,2026-08-14,
214,Alex Veadov,2026-04-15,
215,Alex Vincent,2026-04-29,
216,Alex Winter,,
217,Alex Zamm,,
218,Alexa Davalos,2026-05-28,
219,Alexa Havins,2026-11-16,
220,Alexa PenaVega,2026-08-27,
221,Alexander Gould,2026-05-04,
222,Alexander Payne,2026-02-10,
223,Alexander Skarsg?rd,2026-08-25,
224,Alexander Vlahos,,
225,Alexander Witt,,
226,Alexander Wraith,2026-06-29,
227,Alexandra Breckenridge,2026-05-15,
228,Alexandra Callas,,
229,Alexandra Holden,2026-04-30,
